Claimant,Amount,Bonus,Bonus Amount,81958,
0x1309f9c1613d60b100236e28eb9315f89210d455,1200,200.3396652,,,
0x7c1cb54ad4249b81521226a9b2e4be2bd206516b,1200,200.3396652,,,
0x279b70a6114381d49f35906c8ee5ccfe74025a59,1188.246905,198.3774893,,,
0x397eadff98b18a0e8c1c1866b9e83ae887bac1f1,1186.556566,198.0952876,,,
0x4b86a6d2c2c5e8bff8d3f3129c2ec4059821989b,1161.824708,193.9663108,,,
0xdca78971f8846cae4cb363e0e1ae42d30e5bf910,1152.087892,192.3407521,,,
0x56e2356c0754fae16ac4aeb96d3c843bec6aff67,1104.169787,184.3408379,,,
0xf91a1142d9e4910fb5e6ea3b965440a1dcef12fe,1090.888783,182.1235779,,,
0xc978eca42e1dd89512cac98ceca5e7ae12f60df9,1086.9,181.4576517,,,
0xb1abdd4f2d42f26f9519084c79ccbf8bbe6235d5,1084.440271,181.0470007,,,
0xc82618e68a1169d3704738d9eb78f34b4a96f296,1052.284939,175.678677,,,
0x858b50eb83c4e9800ab420c8b05f56cb40e8f6fa,1042.643392,174.0690234,,,
0x84f0a7680b7bd0fb81186ecc2500b55ba401fda0,1041.293651,173.8436845,,,
0x5ac8239229d38577d9a1f09c3704fd5b13443006,1040.920884,173.7814512,,,
0x02d7bd2cb46d139d830276a1dde94b412d51293a,1034.2224,172.6631411,,,
0xb8b58b248e975a76d147404454f6aa07d2a4e3e2,1010.564198,168.7134109,,,
0x4cc70fe6167142911625a3cad1c0d3daa50b7740,1010.146485,168.6436738,,,
0xa3f11fb663f718c1203cea4220634fe12b35ef0f,1000.117372,166.9693162,,,
0x9fd1d4893921117e0dc3b75fea17044ef82f68d7,996.3726293,166.3441325,,,
0x2d1a168f7c913d67c4a9f350a7bfae3e2e6bb5a7,974.367854,162.6704414,,,
0x37a6156e4a6e8b60b2415af040546cf5e91699bd,973.2000229,162.4754723,,,
0x9cc74fc95f4abeca2398c27c7465542ea7f7639f,966,161.2734305,,,
0xb490ac9d599c2d4fc24cc902ea4cd5af95eff6e9,965.8019876,161.2403724,,,
0x6e2740b7a70d05bc9abd30616f714d9ed0c40029,951.2678834,158.8139077,,,
0x0d4b7e06ccee6da6e6c975ce5c60c1855aa7d8e2,941.391004,157.1649655,,,
0xf7eab72ee14dad3dfef597420f669c25b39f938c,926.2217464,154.6324621,,,
0x4b3989e47cd37d074d5cbdde9caedb9720b7c7ce,916.2093057,152.960888,,,
0x003105a44ef845fea81bcbc5da1fa068bb4779a3,913.8659622,152.5696674,,,
0x6ca48184e2bb2d4e7e042c79ecbe9a906a060a2a,904.905,151.0736373,,,
0x479a28e713ca85f319f07e3e85081f66f9e9819b,880.6734767,147.0281912,,,
0x5a704e1bf5f33146bb01cf2885983f20af88ec86,878.4852,146.662859,,,
0xd245026b6fdc76b8cd7d9bb2d3ba560f6d7dd439,874.1434384,145.9380031,,,
0x118a87c2f8e06da3025f33a627523596fd4fe8c5,872.5747531,145.6761116,,,
0xc2681d0606ebd7719040f2bc1c0fda3e9215db90,853.5201521,142.4949512,,,
0x216b32757e9596579f850aef87951c0450c87947,840,140.2377656,,,
0x6077e139ab73452495d8d92d4ba79de1bea040d1,840,140.2377656,,,
0x9a22c74a76413ec237c2c0c2c4efa1813e81948c,827.6192581,138.1708042,,,
0x0b48ac5bb376cf0fc6ddf1dfb334ded734916c7e,812.8705164,135.7085059,,,
0x2cec5aa7bae1191f2e7da94130aac07c37fd4860,805.6464,134.5024417,,,
0x2ce07f5699d59a42f194322a9370025da41835ab,801.8833304,133.8741983,,,
0xf96081f23caebba2e338473561d47fd91a997bb0,791.3508,132.1157953,,,
